-450.714,648.003,-26.1766
0.925377,-0.379037,-0.0026886
0.378852,0.925106,-0.0254839
0.0121466,0.0225637,0.999672
0,-1.48836,5.86138,0.99091
1,-24.1622,51.6017,2.1592
2,-17.6097,49.4602,1.64129
3,-2.91805,8.66553,0.93757
4,-3.92454,12.4079,0.77599
5,-45.7956,109.214,3.25202
6,-15.1764,49.9998,2.53117
7,-3.50653,10.0426,1.63078
8,-3.08006,10.158,1.8908
9,-47.9359,100.579,3.8549
10,-49.4509,135.592,2.48959
11,-3.52486,10.0893,2.05089
12,-2.67213,10.3209,2.19094
13,-42.9376,102.523,5.76642
14,-25.5526,82.9232,4.16604
15,-3.5751,10.2015,2.38115
16,-3.46128,11.1664,2.21313
17,-44.7738,94.0645,6.18952
18,-49.4643,135.613,5.78965
19,-4.02459,10.1017,2.43117
20,-11.2906,37.6612,0.89311
21,-48.6271,115.877,10.4776
22,-3.61558,10.3158,2.59141
23,-3.61124,11.5556,2.48403
24,-4.07663,10.224,2.64146
25,-15.1602,49.9647,1.35108
26,-14.0094,34.667,12.6482
27,-20.0245,48.7587,1.93106
28,-1.48836,5.86138,0.99091
29,-23.3978,50.4368,2.17635
30,-17.4423,49.4897,1.64126
31,-2.9001,8.67886,0.93758
32,-3.87704,12.4264,0.776
33,-52.5305,126.181,3.29132
34,-3.47873,10.0577,1.6308
35,-3.06037,10.1615,1.8908
36,-49.1994,104.052,3.88289
37,-48.9819,135.696,2.48956
38,-3.50516,10.0927,2.05089
39,-2.64259,10.3261,2.19093
40,-44.7983,107.882,5.9187
41,-25.3649,83.2407,4.16661
42,-3.60122,10.3493,2.37148
43,-3.52159,11.4503,2.18376
44,-44.4814,94.2482,6.18976
45,-48.98,135.688,5.77956
46,-3.99853,10.1266,2.43121
47,-11.682,39.3593,0.79689
48,-49.4167,118.795,10.6541
49,-3.59936,10.3389,2.59145
50,-4.04884,10.2391,2.64148
51,-15.0044,50.0023,1.35108
52,-13.9196,34.7336,12.6583
53,-19.8878,48.9048,1.9213
54,-1.46866,5.86487,0.9909
55,-23.224,50.4879,2.17637
56,-17.2801,49.5489,1.6413
57,-2.88214,8.69218,0.9376
58,-3.84113,12.4531,0.76604
59,-52.4987,127.324,3.29372
60,-14.8416,50.059,2.53112
61,-3.45267,10.0827,1.62084
62,-3.02272,10.1783,1.89082
63,-47.1155,100.592,3.85451
64,-48.5011,135.791,2.48951
65,-3.4791,10.1177,2.05092
66,-2.61826,10.3608,2.19099
67,-52.864,128.187,6.46574
68,-25.0562,83.2749,4.16653
69,-3.53631,10.2693,2.38128
70,-3.60856,11.7701,2.16448
71,-46.0521,98.3675,6.32926
72,-48.4912,135.796,5.77953
73,-3.98579,10.1695,2.4313
74,-11.6613,39.759,0.77773
75,-48.1338,116.878,10.5194
76,-4.0274,10.2327,2.64145
77,-14.8288,50.0435,1.35108
78,-19.714,48.9557,1.93131
79,-1.45071,5.8782,0.99092
80,-17.0895,49.5623,1.64123
81,-2.85434,8.70728,0.92762
82,-3.81159,12.4583,0.76603
83,-51.9049,127.124,3.29299
84,-14.6776,50.1083,2.53114
85,-3.42487,10.0977,1.62085
86,-2.98159,10.1754,1.89079
87,-44.0947,95.1037,3.80136
88,-48.0208,135.947,2.4896
89,-3.43275,10.0852,2.05083
90,-2.5835,10.3365,2.20092
91,-52.3647,128.234,6.46558
92,-24.795,83.4632,4.16679
93,-44.2226,95.3703,6.22199
94,-48.0208,135.95,5.77961
95,-3.97828,10.2419,2.42145
96,-11.5042,39.675,0.78747
97,-48.0609,117.846,10.5714
98,-15.1193,44.0427,0.74856
99,-3.98975,10.2495,2.64147
100,-14.6498,50.0649,1.35103
101,-12.4504,31.8776,11.7915
102,-11.1742,33.0432,9.11332
103,-19.648,49.2721,1.92195
104,-1.4426,5.88978,0.99094
105,-22.8789,50.6605,2.17655
106,-16.5691,48.6284,1.66899
107,-2.83639,8.7206,0.92764
108,-3.76235,12.4669,0.77603
109,-51.2133,126.658,3.29164
110,-35.542,120.321,1.83015
111,-3.39533,10.1029,1.62085
112,-2.96363,10.1888,1.89081
113,-43.7471,95.2057,3.80139
114,-16.6277,48.7882,2.82936
115,-3.40669,10.1101,2.05087
116,-2.56381,10.34,2.19092
117,-51.9193,128.415,6.46573
118,-24.0069,81.8762,4.14303
119,-43.8804,95.5018,6.22209
120,-16.6201,48.7464,3.95927
121,-3.91337,10.162,2.43124
122,-10.1379,35.6204,1.0282
123,-47.6549,118.019,10.5716
124,-16.6583,48.8488,5.12951
125,-3.48581,10.3285,2.59137
126,-14.96,44.0608,0.74851
127,-3.96021,10.2548,2.64146
128,-14.4726,50.0963,1.361
129,-12.7494,32.8803,12.0738
130,-19.4992,49.3491,1.92203
131,-1.42291,5.89326,0.99094
132,-22.5457,50.3843,2.1858
133,-10.8922,32.9358,2.11293
134,-2.80859,8.73567,0.92766
135,-3.7363,12.4919,0.76607
136,-50.8015,126.913,3.29197
137,-14.3133,50.1726,2.53109
138,-3.34897,10.0705,1.63076
139,-2.92077,10.176,1.89076
140,-46.2073,101.371,3.85568
141,-3.39221,10.1432,2.05093
142,-2.5163,10.3585,2.19093
143,-51.4652,128.546,6.46577
144,-23.6546,81.6643,4.1424
145,-3.41929,10.2392,2.39115
146,-7.50013,23.2197,1.20066
147,-43.6719,95.874,6.22277
148,-3.96962,10.3653,2.4217
149,-10.0302,35.7003,1.01831
150,-3.45454,10.3239,2.59135
151,-10.9106,32.9855,5.76305
152,-3.92082,10.2617,2.64146
153,-10.0095,35.6412,1.84818
154,-11.9864,31.3202,11.6101
155,-10.9036,32.9489,9.08298
156,-18.9701,48.5388,1.94005
157,-1.41306,5.895,0.99094
158,-22.325,50.3421,2.18559
159,-2.77904,8.74088,0.92765
160,-3.70038,12.5186,0.7661
161,-50.4099,127.226,3.29243
162,-3.32117,10.0856,1.63077
163,-2.89123,10.1813,1.89075
164,-45.6791,101.14,3.85492
165,-10.7968,32.9713,2.88296
166,-3.35109,10.1403,2.05091
167,-2.49661,10.362,2.19093
168,-51.306,129.427,6.48755
169,-23.4375,81.987,4.14297
170,-3.38975,10.2444,2.39115
171,-7.49614,23.4846,1.18122
172,-43.1719,95.688,6.21212
173,-10.7935,33.0108,3.63304
174,-3.84792,10.1938,2.43128
